category,id,topLevelSynsetId,subSynsetId
Chair,1006be65e7bc937e9141f9b58470d646,03001627,03001627
Chair,1007e20d5e811b308351982a6e40cf41,03001627,04099969
Chair,100b18376b885f206ae9ad7e32c4139d,03001627,20000027
Chair,1013f70851210a618f2e765c4a8ed3d,03001627,03002711
Chair,1015e71a0d21b127de03ab2a27ba7531,03001627,04331277
Chair,1016f4debe988507589aae130c1f06fb,03001627,04331277
Chair,1022fe7dd03f6a4d4d5ad9f13ac9f4e7,03001627,04373704
Chair,1028b32dc1873c2afe26a3ac360dbd4,03001627,20000020
Chair,1031fc859dc3177a2f84cb7932f866fd,03001627,04331277
Chair,1033ee86cc8bac4390962e4fb7072b86,03001627,02738535
Chair,103a0a413d4c3353a723872ad91e4ed1,03001627,04331277
Chair,103a60f3b09107df2da1314e036b435e,03001627,03001627
Chair,103b75dfd146976563ed57e35c972b4b,03001627,02738535
Chair,103c31671f8c0b1467bb14b25f99796e,03001627,04331277
Chair,103d77d63f0d68a044e6721e9db29c1b,03001627,03001627
Chair,1049953406c81b237eaeab1f0c9120b7,03001627,03001627
Chair,1055f78d441d170c4f3443b22038d340,03001627,02738535
Chair,1063d4fcd366de4060e37b3f76995f8b,03001627,20000027
Chair,106a0dbaead5066519fb4103277a6b93,03001627,02738535
Chair,106c7f10c5bf5bd5f51f77a6d7299806,03001627,04331277
Chair,106e9487a1d47ff1a09cb462b3e723e2,03001627,03001627
Chair,10709332176024ce9e47e7a22e24daa3,03001627,03001627
Chair,1079635b3da12a812cee4bf5d0f11ffe,03001627,20000027
Chair,107caefdad02cf1c8ab8e68cb52baa6a,03001627,03001627
Chair,107ed94869ed6f1be13496cd332ce78f,03001627,02738535
Chair,108238b535eb293cd79b19c7c4f0e293,03001627,20000027
Chair,108b9cb292fd811cf51f77a6d7299806,03001627,03649674
Chair,1093d35c2ac73bb74ca84d60642ec7e8,03001627,04373704
Chair,10991b3b01cc6cc99982a4d6320875e,03001627,20000027
Chair,10a1783f635b3fc181dff5c2e57ad46e,03001627,02738535
Chair,10c08a28cae054e53a762233fffc49ea,03001627,20000027
Chair,10d174a00639990492d9da2668ec34c,03001627,04373704
Chair,10d5c2f88b60bbf5febad4f49b26ec52,03001627,02738535
Chair,10dc303144fe5d668d1b9a1d97e2846,03001627,04331277
Chair,10de9af4e91682851e5f7bff98fb8d02,03001627,20000027
Chair,10e523060bb5b51f9ee9f382b1dfb770,03001627,04331277
Chair,11040f463a3895019fb4103277a6b93,03001627,20000027
Chair,110ad013a9ae7a1ab0f4eaf0533e82bb,03001627,03001627
Chair,111720e8cd4c613492d9da2668ec34c,03001627,02738535
Chair,111cb08c8121b8411749672386e0b711,03001627,03001627
Chair,112cee32461c31d1d84b8ba651dfb8ac,03001627,03001627
Chair,113016635d554d5171fb733891076ecf,03001627,03001627
Chair,11347c7e8bc5881775907ca70d2973a4,03001627,03001627
Chair,11355c7f7ffa3c09737d107bffc3cd98,03001627,20000027
Chair,11358c94662a68117e66b3e5c11f24d4,03001627,04373704
Chair,1145248e1eba424d492d9da2668ec34c,03001627,02738535
Chair,114b563de051057fcda85f6a3e19b0a1,03001627,20000026
Chair,114f72b38dcabdf0823f29d871e57676,03001627,03001627
Chair,11506b96d41f7d3dd7c4a943f33e0384,03001627,03001627
Chair,11525a18678f7ce6ae1e1181f20bb9c8,03001627,04373704
Chair,1157d8d6995da5c0290d57214c8512a4,03001627,03001627
Chair,115b11a77b8d8c3c110a27d1d78196,03001627,20000026
Chair,1166b15756ed9b8897317616969032,03001627,02738535
Chair,116a9cd5ac9a008ee8cb931b01d0a372,03001627,02738535
Chair,116bcb3b43de74b9df9054bbcf5c6adc,03001627,20000027
Chair,11740d372308f12185047f9f654ddc2e,03001627,03001627
Chair,117930a8f2e37f9b707cdefe012d0353,03001627,04331277
Chair,117bd6da01905949a81116f5456ee312,03001627,03001627
Chair,117c0e0aafc0c3f81015cdff13e6d9f3,03001627,03001627
Chair,1190af00b6c86c99c3bd24f986301745,03001627,03001627
Chair,1196ffab55e431e11b17743c18fb63dc,03001627,20000027
Chair,11a06e6f68b1d99c8687ff9b0b4e4ac,03001627,03001627
Chair,11b7c86fc42306ec7e7e25239e7b8f85,03001627,03001627
Chair,11c7675a3dbc0d32f7287e3d21227e43,03001627,04331277
Chair,11c8f43ef796e23941e621b1a4bf507f,03001627,04331277
Chair,11c9c57efad0b5ec297936c81e7f6629,03001627,04331277
Chair,11d3fc4092e616a7a6fee8e2140acec9,03001627,03001627
Chair,11d4f2a09184ec972b9f810ad7f5cbd2,03001627,04331277
Chair,11d8814ed60b54002449009b96f8a6ed,03001627,04331277
Chair,11d9817e65d7ead6b87028a4b477349f,03001627,02738535
Chair,11dac7c4d7e4b32af9aec59741c69cf7,03001627,20000027
Chair,11dba3a8d7b7210f5ff61a3a2a0e2484,03001627,20000027
Chair,11e0f0dfd3d0b22130ddb6ead95f49cc,03001627,03001627
Chair,11e28120789c20abc8687ff9b0b4e4ac,03001627,03001627
Chair,11e521e41ff6a64922e4620665c23c97,03001627,02738535
Chair,11e55ca087c74082feec1f13d2353f3,03001627,20000027
Chair,11e6e58798ae5be83e5b5dbd84cdd0f8,03001627,03001627
Chair,11f1511799d033ff7962150cab9888d6,03001627,02738535
Chair,11fa9b044482814ef91663a74ccd2338,03001627,03001627
Chair,11ff2e9f9b0993b7f51f77a6d7299806,03001627,04331277
Chair,123305d8ccc0dc6346918a1d9c256af3,03001627,04331277
Chair,123b44b99e48eccb6960dc525de2f934,03001627,04331277
Chair,124117cdec71699850c2ec40da48fd9d,03001627,04331277
Chair,124ef426dfa0aa38ff6069724068a578,03001627,04331277
Chair,126e65c55961e5c166f17d3ad78f5a62,03001627,20000026
Chair,128517f2992b6fb92057e1ae1c4cc928,03001627,02738535
Chair,12a56b6d02a93c5c711beb49b60c734f,03001627,20000027
Chair,12c2b7080b07146a9d4d5dcd2cc33826,03001627,20000027
Chair,12d7ca3c06faaadf17b431cae0dd70ed,03001627,20000027
Chair,12f395270a3316d01666e1246e760f82,03001627,04373704
Chair,12f4d8c20ef311d988dcbe86402c7c15,03001627,20000027
